Abathur;Z;1;Deep Tunnel;res/spell/abathur/deep-tunnel.png;Quickly tunnel to a visible location.;0;30
Artanis;E;1;Phase Prism;res/spell/artanis/phase-prism.png;Fire a Phase Prism that deals 68.64 (+4% per level) damage to the first Hero hit and swaps Artanis's position with theirs. Can be used during Blade Dash.;70;16
Artanis;R1;1;Suppression Pulse;res/spell/artanis/suppression-pulse.png;Fire a large area pulse from the Spear of Adun, dealing 118.56 (+4% per level) damage and Blinding enemies for 4 seconds. Unlimited range.;40;50
Artanis;R2;1;Purifier Beam;res/spell/artanis/purifier-beam.png;Target an enemy Hero with an orbital beam from the Spear of Adun, dealing 191.36 (+4% per level) damage per second for 8 seconds. The beam will chase the target as they move. Unlimited range.;80;80
Arthas;Trait;1;Frostmourne Hungers;res/spell/arthas/frostmourne-hungers.png;Activate to make Arthas's next Basic Attack strike immediately, do 99 increased damage, and restore 30 Mana.;0;12
Arthas;Q;1;Death Coil;res/spell/arthas/death-coil.png;Deals 170.56 (+4% per level) damage to target enemy. Can be self-cast to heal for 272.48 (+4% per level) Health.;50;9
Arthas;W;1;Howling Blast;res/spell/arthas/howling-blast.png;Root enemies within the target area for 1.25 seconds and deals 70.72 (+4% per level) damage.;60;10
Arthas;E;1;Frozen Tempest;res/spell/arthas/frozen-tempest.png;Deals 41.6 (+4% per level) damage per second to nearby enemies. Slows enemy Move Speed and Attack Speed by 10% per second, stacking up to 40%.;0;1
Arthas;R1;1;Army of the Dead;res/spell/arthas/army-of-the-dead.png;Summons Ghouls that last 15 seconds. Sacrifice Ghouls to heal for 277.68 (+4% per level) Health.;80;80
Arthas;R2;1;Summon Sindragosa;res/spell/arthas/summon-sindragosa.png;Deals 239.2 (+4% per level) damage and slows enemies by 60% for 3.5 seconds. Also disables non-Heroic enemies and Structures for 20 seconds.;100;100
Auriel;Trait;1;Bestow Hope;res/spell/auriel/bestow-hope.png;Passive: 40% of the damage Auriel deals to Heroes and 8% dealt to non-Heroes is stored as energy. Bestow an allied Hero with Hope. While they remain near Auriel, damage they deal causes her to gain energy. Auriel can only have Bestow Hope on 1 ally at a time.;0;0
Auriel;Q;1;Sacred Sweep;res/spell/auriel/sacred-sweep.png;Sweep the area with sacred power, dealing 78 (+4% per level) damage to enemies and an additional 156 (+4% per level) damage to enemies caught in the center.;0;8
Auriel;W;1;Ray of Heaven;res/spell/auriel/ray-of-heaven.png;Consume Auriel's stored energy and heal allied Heroes in the area for the amount of energy consumed.;0;4
Auriel;E;1;Detainment Strike;res/spell/auriel/detainment-strike.png;Deal 104 (+4% per level) damage to the first enemy Hero hit and knock them back. If they collide with terrain, they are also stunned for 1.25 seconds and take an additional 104 (+4% per level) damage.;0;14
Auriel;R1;1;Crystal Aegis;res/spell/auriel/crystal-aegis.png;Place an allied Hero into Stasis for 2 seconds. Upon expiration, Crystal Aegis deals 280.8 (+4% per level) damage to all nearby enemies.;0;60
Auriel;R2;1;Resurrect;res/spell/auriel/resurrect.png;Channel on the spirit of a dead ally for 3 seconds, bringing them back to life with 50% of their maximum health at the location where they died.;0;70
Azmodan;Trait;1;General of Hell;res/spell/azmodan/general-of-hell.png;Summon a Demon Lieutenant at an allied Mercenary, Minion, or Azmodan's Summons. The Lieutenant will march with the target, granting 15% increased damage and 15% increased maximum Health to all nearby friendly Mercenaries, Minions, and Azmodan's Summons. Unlimited range.;0;30
Azmodan;Q;1;Globe of Annihilation;res/spell/azmodan/globe-of-annihilation.png;Shoot a globe of destruction, dealing 170.56 (+4% per level) damage on impact. Long range.;60;10
Azmodan;W;1;Summon Demon Warrior;res/spell/azmodan/summon-demon-warrior.png;Spawn a Demon Warrior that marches toward a point. Warriors deal 38.48 (+4% per level) damage per second and last for 10.5 seconds. Stores up to 2 charges.;40;10
Azmodan;E;1;All Shall Burn;res/spell/azmodan/all-shall-burn.png;Channel a death beam on an enemy dealing 104 (+4% per level) damage a second. The damage amount grows the longer it is channeled, to a maximum of 208 (+4% per level) damage per second. Does 25% more damage to Structures.;16;6
Azmodan;R1;1;Black Pool;res/spell/azmodan/black-pool.png;Create a pool that empowers Azmodan, his Demons, and allied Minions, increasing their Basic Attack and Ability damage by 75%. Pools last 5 seconds. Stores up to 2 charges.;60;20
Azmodan;R2;1;Demonic Invasion;res/spell/azmodan/demonic-invasion.png;Rain a small army of Demonic Grunts down on enemies, dealing 108.16 (+4% per level) damage per impact. Demon Grunts deal 53.04 (+4% per level) damage and have 379.6 (+4% per level) health.;100;100
